Statistic Label,Year,Sex,County,Age Group,UNIT,VALUE,Upper_County
Mean Annual Earnings,2011,Both sexes,Roscommon,40 - 49 years,Euro,38714,ROSCOMMON
Mean Annual Earnings,2011,Both sexes,Roscommon,50 - 59 years,Euro,37494,ROSCOMMON
Mean Annual Earnings,2011,Both sexes,Roscommon,60 years and over,Euro,28815,ROSCOMMON
Mean Annual Earnings,2011,Both sexes,Sligo,15 - 24 years,Euro,17115,SLIGO
Mean Annual Earnings,2011,Both sexes,Sligo,15 years and over,Euro,36340,SLIGO
Mean Annual Earnings,2011,Both sexes,Sligo,25 - 29 years,Euro,28678,SLIGO
Mean Annual Earnings,2011,Both sexes,Sligo,30 - 39 years,Euro,36743,SLIGO
Mean Annual Earnings,2011,Both sexes,Sligo,40 - 49 years,Euro,41656,SLIGO
Mean Annual Earnings,2011,Both sexes,Sligo,50 - 59 years,Euro,40276,SLIGO
Mean Annual Earnings,2011,Both sexes,Sligo,60 years and over,Euro,30321,SLIGO
Mean Annual Earnings,2011,Both sexes,Tipperary,15 - 24 years,Euro,17935,TIPPERARY
Mean Annual Earnings,2011,Both sexes,Tipperary,15 years and over,Euro,35722,TIPPERARY
Mean Annual Earnings,2011,Both sexes,Tipperary,25 - 29 years,Euro,29928,TIPPERARY
Mean Annual Earnings,2011,Both sexes,Tipperary,30 - 39 years,Euro,37938,TIPPERARY
Mean Annual Earnings,2011,Both sexes,Tipperary,40 - 49 years,Euro,39852,TIPPERARY
Mean Annual Earnings,2011,Both sexes,Tipperary,50 - 59 years,Euro,38203,TIPPERARY
Mean Annual Earnings,2011,Both sexes,Tipperary,60 years and over,Euro,28550,TIPPERARY
Mean Annual Earnings,2011,Both sexes,Waterford,15 - 24 years,Euro,16309,WATERFORD
Mean Annual Earnings,2011,Both sexes,Waterford,15 years and over,Euro,36959,WATERFORD
Mean Annual Earnings,2011,Both sexes,Waterford,25 - 29 years,Euro,28815,WATERFORD
Mean Annual Earnings,2011,Both sexes,Waterford,30 - 39 years,Euro,38124,WATERFORD
Mean Annual Earnings,2011,Both sexes,Waterford,40 - 49 years,Euro,43001,WATERFORD
Mean Annual Earnings,2011,Both sexes,Waterford,50 - 59 years,Euro,40614,WATERFORD
Mean Annual Earnings,2011,Both sexes,Waterford,60 years and over,Euro,30534,WATERFORD
Mean Annual Earnings,2011,Both sexes,Wicklow,15 - 24 years,Euro,17235,WICKLOW
Mean Annual Earnings,2011,Both sexes,Wicklow,15 years and over,Euro,41725,WICKLOW
Mean Annual Earnings,2011,Both sexes,Wicklow,25 - 29 years,Euro,29429,WICKLOW
Mean Annual Earnings,2011,Both sexes,Wicklow,30 - 39 years,Euro,42909,WICKLOW
Mean Annual Earnings,2011,Both sexes,Wicklow,40 - 49 years,Euro,49506,WICKLOW
Mean Annual Earnings,2011,Both sexes,Wicklow,50 - 59 years,Euro,46480,WICKLOW
Mean Annual Earnings,2011,Both sexes,Wicklow,60 years and over,Euro,35710,WICKLOW
Mean Annual Earnings,2011,Both sexes,Westmeath,15 - 24 years,Euro,18470,WESTMEATH
Mean Annual Earnings,2011,Both sexes,Westmeath,15 years and over,Euro,37076,WESTMEATH
Mean Annual Earnings,2011,Both sexes,Westmeath,25 - 29 years,Euro,29898,WESTMEATH
Mean Annual Earnings,2011,Both sexes,Westmeath,30 - 39 years,Euro,38491,WESTMEATH
Mean Annual Earnings,2011,Both sexes,Westmeath,40 - 49 years,Euro,41969,WESTMEATH
Mean Annual Earnings,2011,Both sexes,Westmeath,50 - 59 years,Euro,40323,WESTMEATH
Mean Annual Earnings,2011,Both sexes,Westmeath,60 years and over,Euro,32321,WESTMEATH
Mean Annual Earnings,2011,Both sexes,Wexford,15 - 24 years,Euro,17146,WEXFORD
Mean Annual Earnings,2011,Both sexes,Wexford,15 years and over,Euro,33672,WEXFORD
Mean Annual Earnings,2011,Both sexes,Wexford,25 - 29 years,Euro,28186,WEXFORD
Mean Annual Earnings,2011,Both sexes,Wexford,30 - 39 years,Euro,35436,WEXFORD
Mean Annual Earnings,2011,Both sexes,Wexford,40 - 49 years,Euro,37359,WEXFORD
Mean Annual Earnings,2011,Both sexes,Wexford,50 - 59 years,Euro,36718,WEXFORD
