Statistic Label,Year,Sex,County,Age Group,UNIT,VALUE,Upper_County
Median Annual Earnings,2012,Male,Meath,60 years and over,Euro,33798,MEATH
Median Annual Earnings,2012,Male,Monaghan,15 - 24 years,Euro,18607,MONAGHAN
Median Annual Earnings,2012,Male,Monaghan,15 years and over,Euro,29428,MONAGHAN
Median Annual Earnings,2012,Male,Monaghan,25 - 29 years,Euro,25959,MONAGHAN
Median Annual Earnings,2012,Male,Monaghan,30 - 39 years,Euro,30745,MONAGHAN
Median Annual Earnings,2012,Male,Monaghan,40 - 49 years,Euro,32356,MONAGHAN
Median Annual Earnings,2012,Male,Monaghan,50 - 59 years,Euro,33955,MONAGHAN
Median Annual Earnings,2012,Male,Monaghan,60 years and over,Euro,24906,MONAGHAN
Median Annual Earnings,2012,Male,Mayo,15 - 24 years,Euro,16178,MAYO
Median Annual Earnings,2012,Male,Mayo,15 years and over,Euro,32418,MAYO
Median Annual Earnings,2012,Male,Mayo,25 - 29 years,Euro,27500,MAYO
Median Annual Earnings,2012,Male,Mayo,30 - 39 years,Euro,34478,MAYO
Median Annual Earnings,2012,Male,Mayo,40 - 49 years,Euro,37380,MAYO
Median Annual Earnings,2012,Male,Mayo,50 - 59 years,Euro,35999,MAYO
Median Annual Earnings,2012,Male,Mayo,60 years and over,Euro,26113,MAYO
Median Annual Earnings,2012,Male,Offaly,15 - 24 years,Euro,18069,OFFALY
Median Annual Earnings,2012,Male,Offaly,15 years and over,Euro,34253,OFFALY
Median Annual Earnings,2012,Male,Offaly,25 - 29 years,Euro,27975,OFFALY
Median Annual Earnings,2012,Male,Offaly,30 - 39 years,Euro,35000,OFFALY
Median Annual Earnings,2012,Male,Offaly,40 - 49 years,Euro,38497,OFFALY
Median Annual Earnings,2012,Male,Offaly,50 - 59 years,Euro,38666,OFFALY
Median Annual Earnings,2012,Male,Offaly,60 years and over,Euro,31738,OFFALY
Median Annual Earnings,2012,Male,Roscommon,15 - 24 years,Euro,17595,ROSCOMMON
Median Annual Earnings,2012,Male,Roscommon,15 years and over,Euro,34307,ROSCOMMON
Median Annual Earnings,2012,Male,Roscommon,25 - 29 years,Euro,27074,ROSCOMMON
Median Annual Earnings,2012,Male,Roscommon,30 - 39 years,Euro,37138,ROSCOMMON
Median Annual Earnings,2012,Male,Roscommon,40 - 49 years,Euro,38120,ROSCOMMON
Median Annual Earnings,2012,Male,Roscommon,50 - 59 years,Euro,37644,ROSCOMMON
Median Annual Earnings,2012,Male,Roscommon,60 years and over,Euro,27533,ROSCOMMON
Median Annual Earnings,2012,Male,Sligo,15 - 24 years,Euro,15405,SLIGO
Median Annual Earnings,2012,Male,Sligo,15 years and over,Euro,33719,SLIGO
Median Annual Earnings,2012,Male,Sligo,25 - 29 years,Euro,26054,SLIGO
Median Annual Earnings,2012,Male,Sligo,30 - 39 years,Euro,33718,SLIGO
Median Annual Earnings,2012,Male,Sligo,40 - 49 years,Euro,39255,SLIGO
Median Annual Earnings,2012,Male,Sligo,50 - 59 years,Euro,39309,SLIGO
Median Annual Earnings,2012,Male,Sligo,60 years and over,Euro,30072,SLIGO
Median Annual Earnings,2012,Male,Tipperary,15 - 24 years,Euro,17258,TIPPERARY
Median Annual Earnings,2012,Male,Tipperary,15 years and over,Euro,34426,TIPPERARY
Median Annual Earnings,2012,Male,Tipperary,25 - 29 years,Euro,27631,TIPPERARY
Median Annual Earnings,2012,Male,Tipperary,30 - 39 years,Euro,35099,TIPPERARY
Median Annual Earnings,2012,Male,Tipperary,40 - 49 years,Euro,39509,TIPPERARY
Median Annual Earnings,2012,Male,Tipperary,50 - 59 years,Euro,38752,TIPPERARY
Median Annual Earnings,2012,Male,Tipperary,60 years and over,Euro,29293,TIPPERARY
Median Annual Earnings,2012,Male,Waterford,15 - 24 years,Euro,16691,WATERFORD
Median Annual Earnings,2012,Male,Waterford,15 years and over,Euro,36645,WATERFORD
Median Annual Earnings,2012,Male,Waterford,25 - 29 years,Euro,27090,WATERFORD
Median Annual Earnings,2012,Male,Waterford,30 - 39 years,Euro,37884,WATERFORD
Median Annual Earnings,2012,Male,Waterford,40 - 49 years,Euro,43569,WATERFORD
Median Annual Earnings,2012,Male,Waterford,50 - 59 years,Euro,40802,WATERFORD
Median Annual Earnings,2012,Male,Waterford,60 years and over,Euro,29490,WATERFORD
Median Annual Earnings,2012,Male,Wicklow,15 - 24 years,Euro,16326,WICKLOW
Median Annual Earnings,2012,Male,Wicklow,15 years and over,Euro,39000,WICKLOW
Median Annual Earnings,2012,Male,Wicklow,25 - 29 years,Euro,27626,WICKLOW
Median Annual Earnings,2012,Male,Wicklow,30 - 39 years,Euro,39204,WICKLOW
Median Annual Earnings,2012,Male,Wicklow,40 - 49 years,Euro,49158,WICKLOW
Median Annual Earnings,2012,Male,Wicklow,50 - 59 years,Euro,47534,WICKLOW
Median Annual Earnings,2012,Male,Wicklow,60 years and over,Euro,32523,WICKLOW
Median Annual Earnings,2012,Male,Westmeath,15 - 24 years,Euro,18326,WESTMEATH
Median Annual Earnings,2012,Male,Westmeath,15 years and over,Euro,35646,WESTMEATH
Median Annual Earnings,2012,Male,Westmeath,25 - 29 years,Euro,27500,WESTMEATH
Median Annual Earnings,2012,Male,Westmeath,30 - 39 years,Euro,36492,WESTMEATH
Median Annual Earnings,2012,Male,Westmeath,40 - 49 years,Euro,42094,WESTMEATH
Median Annual Earnings,2012,Male,Westmeath,50 - 59 years,Euro,39553,WESTMEATH
Median Annual Earnings,2012,Male,Westmeath,60 years and over,Euro,31296,WESTMEATH
Median Annual Earnings,2012,Male,Wexford,15 - 24 years,Euro,18053,WEXFORD
Median Annual Earnings,2012,Male,Wexford,15 years and over,Euro,32407,WEXFORD
Median Annual Earnings,2012,Male,Wexford,25 - 29 years,Euro,26346,WEXFORD
Median Annual Earnings,2012,Male,Wexford,30 - 39 years,Euro,33284,WEXFORD
Median Annual Earnings,2012,Male,Wexford,40 - 49 years,Euro,37489,WEXFORD
Median Annual Earnings,2012,Male,Wexford,50 - 59 years,Euro,37034,WEXFORD
Median Annual Earnings,2012,Male,Wexford,60 years and over,Euro,26572,WEXFORD
Median Annual Earnings,2012,Male,Ireland,15 - 24 years,Euro,17269,IRELAND
Median Annual Earnings,2012,Male,Ireland,15 years and over,Euro,36860,IRELAND
Median Annual Earnings,2012,Male,Ireland,25 - 29 years,Euro,27892,IRELAND
Median Annual Earnings,2012,Male,Ireland,30 - 39 years,Euro,37460,IRELAND
Median Annual Earnings,2012,Male,Ireland,40 - 49 years,Euro,44392,IRELAND
Median Annual Earnings,2012,Male,Ireland,50 - 59 years,Euro,43680,IRELAND
Median Annual Earnings,2012,Male,Ireland,60 years and over,Euro,31905,IRELAND
Median Annual Earnings,2012,Female,Clare,15 - 24 years,Euro,15658,CLARE
Median Annual Earnings,2012,Female,Clare,15 years and over,Euro,28636,CLARE
Median Annual Earnings,2012,Female,Clare,25 - 29 years,Euro,26694,CLARE
Median Annual Earnings,2012,Female,Clare,30 - 39 years,Euro,32486,CLARE
Median Annual Earnings,2012,Female,Clare,40 - 49 years,Euro,31379,CLARE
Median Annual Earnings,2012,Female,Clare,50 - 59 years,Euro,28170,CLARE
Median Annual Earnings,2012,Female,Clare,60 years and over,Euro,17660,CLARE
Median Annual Earnings,2012,Female,Cork,15 - 24 years,Euro,14570,CORK
Median Annual Earnings,2012,Female,Cork,15 years and over,Euro,28288,CORK
Median Annual Earnings,2012,Female,Cork,25 - 29 years,Euro,26567,CORK
Median Annual Earnings,2012,Female,Cork,30 - 39 years,Euro,33466,CORK
Median Annual Earnings,2012,Female,Cork,40 - 49 years,Euro,30114,CORK
Median Annual Earnings,2012,Female,Cork,50 - 59 years,Euro,27965,CORK
Median Annual Earnings,2012,Female,Cork,60 years and over,Euro,16640,CORK
Median Annual Earnings,2012,Female,Cavan,15 - 24 years,Euro,15700,CAVAN
Median Annual Earnings,2012,Female,Cavan,15 years and over,Euro,27272,CAVAN
Median Annual Earnings,2012,Female,Cavan,25 - 29 years,Euro,25638,CAVAN
Median Annual Earnings,2012,Female,Cavan,30 - 39 years,Euro,32373,CAVAN
Median Annual Earnings,2012,Female,Cavan,40 - 49 years,Euro,28871,CAVAN
Median Annual Earnings,2012,Female,Cavan,50 - 59 years,Euro,26149,CAVAN
Median Annual Earnings,2012,Female,Cavan,60 years and over,Euro,17749,CAVAN
Median Annual Earnings,2012,Female,Carlow,15 - 24 years,Euro,14584,CARLOW
Median Annual Earnings,2012,Female,Carlow,15 years and over,Euro,27152,CARLOW
Median Annual Earnings,2012,Female,Carlow,25 - 29 years,Euro,24769,CARLOW
Median Annual Earnings,2012,Female,Carlow,30 - 39 years,Euro,32424,CARLOW
Median Annual Earnings,2012,Female,Carlow,40 - 49 years,Euro,29101,CARLOW
Median Annual Earnings,2012,Female,Carlow,50 - 59 years,Euro,27046,CARLOW
Median Annual Earnings,2012,Female,Carlow,60 years and over,Euro,18066,CARLOW
Median Annual Earnings,2012,Female,Donegal,15 - 24 years,Euro,11896,DONEGAL
Median Annual Earnings,2012,Female,Donegal,15 years and over,Euro,25687,DONEGAL
Median Annual Earnings,2012,Female,Donegal,25 - 29 years,Euro,22650,DONEGAL
Median Annual Earnings,2012,Female,Donegal,30 - 39 years,Euro,29806,DONEGAL
Median Annual Earnings,2012,Female,Donegal,40 - 49 years,Euro,28894,DONEGAL
Median Annual Earnings,2012,Female,Donegal,50 - 59 years,Euro,27567,DONEGAL
Median Annual Earnings,2012,Female,Donegal,60 years and over,Euro,15718,DONEGAL
Median Annual Earnings,2012,Female,Dublin,15 - 24 years,Euro,16044,DUBLIN
Median Annual Earnings,2012,Female,Dublin,15 years and over,Euro,31716,DUBLIN
Median Annual Earnings,2012,Female,Dublin,25 - 29 years,Euro,28056,DUBLIN
Median Annual Earnings,2012,Female,Dublin,30 - 39 years,Euro,37147,DUBLIN
Median Annual Earnings,2012,Female,Dublin,40 - 49 years,Euro,35209,DUBLIN
Median Annual Earnings,2012,Female,Dublin,50 - 59 years,Euro,32483,DUBLIN
Median Annual Earnings,2012,Female,Dublin,60 years and over,Euro,22169,DUBLIN
Median Annual Earnings,2012,Female,Galway,15 - 24 years,Euro,15189,GALWAY
Median Annual Earnings,2012,Female,Galway,15 years and over,Euro,29725,GALWAY
Median Annual Earnings,2012,Female,Galway,25 - 29 years,Euro,26144,GALWAY
Median Annual Earnings,2012,Female,Galway,30 - 39 years,Euro,33586,GALWAY
Median Annual Earnings,2012,Female,Galway,40 - 49 years,Euro,32099,GALWAY
Median Annual Earnings,2012,Female,Galway,50 - 59 years,Euro,30776,GALWAY
Median Annual Earnings,2012,Female,Galway,60 years and over,Euro,20762,GALWAY
Median Annual Earnings,2012,Female,Kildare,15 - 24 years,Euro,15354,KILDARE
Median Annual Earnings,2012,Female,Kildare,15 years and over,Euro,30280,KILDARE
Median Annual Earnings,2012,Female,Kildare,25 - 29 years,Euro,27192,KILDARE
Median Annual Earnings,2012,Female,Kildare,30 - 39 years,Euro,35888,KILDARE
Median Annual Earnings,2012,Female,Kildare,40 - 49 years,Euro,32194,KILDARE
Median Annual Earnings,2012,Female,Kildare,50 - 59 years,Euro,31059,KILDARE
Median Annual Earnings,2012,Female,Kildare,60 years and over,Euro,20295,KILDARE
Median Annual Earnings,2012,Female,Kilkenny,15 - 24 years,Euro,14076,KILKENNY
Median Annual Earnings,2012,Female,Kilkenny,15 years and over,Euro,28767,KILKENNY
Median Annual Earnings,2012,Female,Kilkenny,25 - 29 years,Euro,27361,KILKENNY
Median Annual Earnings,2012,Female,Kilkenny,30 - 39 years,Euro,33994,KILKENNY
Median Annual Earnings,2012,Female,Kilkenny,40 - 49 years,Euro,30616,KILKENNY
Median Annual Earnings,2012,Female,Kilkenny,50 - 59 years,Euro,29275,KILKENNY
Median Annual Earnings,2012,Female,Kilkenny,60 years and over,Euro,15995,KILKENNY
Median Annual Earnings,2012,Female,Kerry,15 - 24 years,Euro,15247,KERRY
Median Annual Earnings,2012,Female,Kerry,15 years and over,Euro,26000,KERRY
Median Annual Earnings,2012,Female,Kerry,25 - 29 years,Euro,25035,KERRY
Median Annual Earnings,2012,Female,Kerry,30 - 39 years,Euro,29088,KERRY
Median Annual Earnings,2012,Female,Kerry,40 - 49 years,Euro,28018,KERRY
Median Annual Earnings,2012,Female,Kerry,50 - 59 years,Euro,26500,KERRY
Median Annual Earnings,2012,Female,Kerry,60 years and over,Euro,16559,KERRY
Median Annual Earnings,2012,Female,Longford,15 - 24 years,Euro,16251,LONGFORD
Median Annual Earnings,2012,Female,Longford,15 years and over,Euro,26954,LONGFORD
Median Annual Earnings,2012,Female,Longford,25 - 29 years,Euro,27241,LONGFORD
Median Annual Earnings,2012,Female,Longford,30 - 39 years,Euro,30800,LONGFORD
Median Annual Earnings,2012,Female,Longford,40 - 49 years,Euro,27755,LONGFORD
Median Annual Earnings,2012,Female,Longford,50 - 59 years,Euro,27879,LONGFORD
Median Annual Earnings,2012,Female,Longford,60 years and over,Euro,19129,LONGFORD
Median Annual Earnings,2012,Female,Louth,15 - 24 years,Euro,14086,LOUTH
Median Annual Earnings,2012,Female,Louth,15 years and over,Euro,26000,LOUTH
Median Annual Earnings,2012,Female,Louth,25 - 29 years,Euro,24125,LOUTH
Median Annual Earnings,2012,Female,Louth,30 - 39 years,Euro,30235,LOUTH
Median Annual Earnings,2012,Female,Louth,40 - 49 years,Euro,27785,LOUTH
Median Annual Earnings,2012,Female,Louth,50 - 59 years,Euro,27187,LOUTH
Median Annual Earnings,2012,Female,Louth,60 years and over,Euro,18024,LOUTH
Median Annual Earnings,2012,Female,Limerick,15 - 24 years,Euro,14842,LIMERICK
Median Annual Earnings,2012,Female,Limerick,15 years and over,Euro,28058,LIMERICK
Median Annual Earnings,2012,Female,Limerick,25 - 29 years,Euro,25370,LIMERICK
Median Annual Earnings,2012,Female,Limerick,30 - 39 years,Euro,33050,LIMERICK
Median Annual Earnings,2012,Female,Limerick,40 - 49 years,Euro,30455,LIMERICK
Median Annual Earnings,2012,Female,Limerick,50 - 59 years,Euro,28329,LIMERICK
Median Annual Earnings,2012,Female,Limerick,60 years and over,Euro,19588,LIMERICK
Median Annual Earnings,2012,Female,Leitrim,15 - 24 years,Euro,13928,LEITRIM
Median Annual Earnings,2012,Female,Leitrim,15 years and over,Euro,29103,LEITRIM
Median Annual Earnings,2012,Female,Leitrim,25 - 29 years,Euro,27221,LEITRIM
Median Annual Earnings,2012,Female,Leitrim,30 - 39 years,Euro,34621,LEITRIM
Median Annual Earnings,2012,Female,Leitrim,40 - 49 years,Euro,30000,LEITRIM
Median Annual Earnings,2012,Female,Leitrim,50 - 59 years,Euro,29239,LEITRIM
Median Annual Earnings,2012,Female,Leitrim,60 years and over,Euro,17547,LEITRIM
Median Annual Earnings,2012,Female,Laois,15 - 24 years,Euro,14801,LAOIS
Median Annual Earnings,2012,Female,Laois,15 years and over,Euro,29570,LAOIS
Median Annual Earnings,2012,Female,Laois,25 - 29 years,Euro,27790,LAOIS
Median Annual Earnings,2012,Female,Laois,30 - 39 years,Euro,33547,LAOIS
Median Annual Earnings,2012,Female,Laois,40 - 49 years,Euro,30673,LAOIS
Median Annual Earnings,2012,Female,Laois,50 - 59 years,Euro,29978,LAOIS
Median Annual Earnings,2012,Female,Laois,60 years and over,Euro,18515,LAOIS
Median Annual Earnings,2012,Female,Meath,15 - 24 years,Euro,15733,MEATH
Median Annual Earnings,2012,Female,Meath,15 years and over,Euro,29851,MEATH
Median Annual Earnings,2012,Female,Meath,25 - 29 years,Euro,27461,MEATH
Median Annual Earnings,2012,Female,Meath,30 - 39 years,Euro,34361,MEATH
Median Annual Earnings,2012,Female,Meath,40 - 49 years,Euro,31666,MEATH
Median Annual Earnings,2012,Female,Meath,50 - 59 years,Euro,29502,MEATH
Median Annual Earnings,2012,Female,Meath,60 years and over,Euro,19971,MEATH
Median Annual Earnings,2012,Female,Monaghan,15 - 24 years,Euro,13473,MONAGHAN
Median Annual Earnings,2012,Female,Monaghan,15 years and over,Euro,25907,MONAGHAN
Median Annual Earnings,2012,Female,Monaghan,25 - 29 years,Euro,24983,MONAGHAN
Median Annual Earnings,2012,Female,Monaghan,30 - 39 years,Euro,30632,MONAGHAN
Median Annual Earnings,2012,Female,Monaghan,40 - 49 years,Euro,27179,MONAGHAN
Median Annual Earnings,2012,Female,Monaghan,50 - 59 years,Euro,26237,MONAGHAN
Median Annual Earnings,2012,Female,Monaghan,60 years and over,Euro,17985,MONAGHAN
Median Annual Earnings,2012,Female,Mayo,15 - 24 years,Euro,13831,MAYO
Median Annual Earnings,2012,Female,Mayo,15 years and over,Euro,27274,MAYO
Median Annual Earnings,2012,Female,Mayo,25 - 29 years,Euro,25871,MAYO
Median Annual Earnings,2012,Female,Mayo,30 - 39 years,Euro,32506,MAYO
Median Annual Earnings,2012,Female,Mayo,40 - 49 years,Euro,29629,MAYO
Median Annual Earnings,2012,Female,Mayo,50 - 59 years,Euro,27834,MAYO
Median Annual Earnings,2012,Female,Mayo,60 years and over,Euro,17160,MAYO
Median Annual Earnings,2012,Female,Offaly,15 - 24 years,Euro,14255,OFFALY
Median Annual Earnings,2012,Female,Offaly,15 years and over,Euro,27853,OFFALY
Median Annual Earnings,2012,Female,Offaly,25 - 29 years,Euro,25538,OFFALY
Median Annual Earnings,2012,Female,Offaly,30 - 39 years,Euro,32273,OFFALY
Median Annual Earnings,2012,Female,Offaly,40 - 49 years,Euro,29164,OFFALY
Median Annual Earnings,2012,Female,Offaly,50 - 59 years,Euro,29773,OFFALY
Median Annual Earnings,2012,Female,Offaly,60 years and over,Euro,17351,OFFALY
Median Annual Earnings,2012,Female,Roscommon,15 - 24 years,Euro,14743,ROSCOMMON
Median Annual Earnings,2012,Female,Roscommon,15 years and over,Euro,28803,ROSCOMMON
Median Annual Earnings,2012,Female,Roscommon,25 - 29 years,Euro,26572,ROSCOMMON
Median Annual Earnings,2012,Female,Roscommon,30 - 39 years,Euro,33674,ROSCOMMON
Median Annual Earnings,2012,Female,Roscommon,40 - 49 years,Euro,31138,ROSCOMMON
Median Annual Earnings,2012,Female,Roscommon,50 - 59 years,Euro,28354,ROSCOMMON
Median Annual Earnings,2012,Female,Roscommon,60 years and over,Euro,18649,ROSCOMMON
Median Annual Earnings,2012,Female,Sligo,15 - 24 years,Euro,14424,SLIGO
Median Annual Earnings,2012,Female,Sligo,15 years and over,Euro,30411,SLIGO
Median Annual Earnings,2012,Female,Sligo,25 - 29 years,Euro,25667,SLIGO
Median Annual Earnings,2012,Female,Sligo,30 - 39 years,Euro,33503,SLIGO
Median Annual Earnings,2012,Female,Sligo,40 - 49 years,Euro,33665,SLIGO
Median Annual Earnings,2012,Female,Sligo,50 - 59 years,Euro,31801,SLIGO
Median Annual Earnings,2012,Female,Sligo,60 years and over,Euro,22166,SLIGO
Median Annual Earnings,2012,Female,Tipperary,15 - 24 years,Euro,13758,TIPPERARY
Median Annual Earnings,2012,Female,Tipperary,15 years and over,Euro,27543,TIPPERARY
Median Annual Earnings,2012,Female,Tipperary,25 - 29 years,Euro,26452,TIPPERARY
Median Annual Earnings,2012,Female,Tipperary,30 - 39 years,Euro,33120,TIPPERARY
Median Annual Earnings,2012,Female,Tipperary,40 - 49 years,Euro,29042,TIPPERARY
Median Annual Earnings,2012,Female,Tipperary,50 - 59 years,Euro,26866,TIPPERARY
Median Annual Earnings,2012,Female,Tipperary,60 years and over,Euro,16432,TIPPERARY
Median Annual Earnings,2012,Female,Waterford,15 - 24 years,Euro,13445,WATERFORD
Median Annual Earnings,2012,Female,Waterford,15 years and over,Euro,26889,WATERFORD
Median Annual Earnings,2012,Female,Waterford,25 - 29 years,Euro,24419,WATERFORD
Median Annual Earnings,2012,Female,Waterford,30 - 39 years,Euro,32392,WATERFORD
Median Annual Earnings,2012,Female,Waterford,40 - 49 years,Euro,28442,WATERFORD
Median Annual Earnings,2012,Female,Waterford,50 - 59 years,Euro,27668,WATERFORD
Median Annual Earnings,2012,Female,Waterford,60 years and over,Euro,17817,WATERFORD
Median Annual Earnings,2012,Female,Wicklow,15 - 24 years,Euro,14558,WICKLOW
Median Annual Earnings,2012,Female,Wicklow,15 years and over,Euro,28999,WICKLOW
Median Annual Earnings,2012,Female,Wicklow,25 - 29 years,Euro,26205,WICKLOW
Median Annual Earnings,2012,Female,Wicklow,30 - 39 years,Euro,34714,WICKLOW
Median Annual Earnings,2012,Female,Wicklow,40 - 49 years,Euro,30832,WICKLOW
Median Annual Earnings,2012,Female,Wicklow,50 - 59 years,Euro,29673,WICKLOW
Median Annual Earnings,2012,Female,Wicklow,60 years and over,Euro,20691,WICKLOW
Median Annual Earnings,2012,Female,Westmeath,15 - 24 years,Euro,14745,WESTMEATH
Median Annual Earnings,2012,Female,Westmeath,15 years and over,Euro,28339,WESTMEATH
Median Annual Earnings,2012,Female,Westmeath,25 - 29 years,Euro,25232,WESTMEATH
Median Annual Earnings,2012,Female,Westmeath,30 - 39 years,Euro,33265,WESTMEATH
Median Annual Earnings,2012,Female,Westmeath,40 - 49 years,Euro,31101,WESTMEATH
Median Annual Earnings,2012,Female,Westmeath,50 - 59 years,Euro,30331,WESTMEATH
Median Annual Earnings,2012,Female,Westmeath,60 years and over,Euro,18838,WESTMEATH
Median Annual Earnings,2012,Female,Wexford,15 - 24 years,Euro,14764,WEXFORD
Median Annual Earnings,2012,Female,Wexford,15 years and over,Euro,25645,WEXFORD
Median Annual Earnings,2012,Female,Wexford,25 - 29 years,Euro,24728,WEXFORD
Median Annual Earnings,2012,Female,Wexford,30 - 39 years,Euro,29481,WEXFORD
Median Annual Earnings,2012,Female,Wexford,40 - 49 years,Euro,27343,WEXFORD
Median Annual Earnings,2012,Female,Wexford,50 - 59 years,Euro,26168,WEXFORD
Median Annual Earnings,2012,Female,Wexford,60 years and over,Euro,15676,WEXFORD
Median Annual Earnings,2012,Female,Ireland,15 - 24 years,Euro,15121,IRELAND
Median Annual Earnings,2012,Female,Ireland,15 years and over,Euro,29189,IRELAND
Median Annual Earnings,2012,Female,Ireland,25 - 29 years,Euro,26720,IRELAND
Median Annual Earnings,2012,Female,Ireland,30 - 39 years,Euro,34265,IRELAND
Median Annual Earnings,2012,Female,Ireland,40 - 49 years,Euro,31526,IRELAND
Median Annual Earnings,2012,Female,Ireland,50 - 59 years,Euro,29688,IRELAND
Median Annual Earnings,2012,Female,Ireland,60 years and over,Euro,19350,IRELAND
Median Annual Earnings,2013,Both sexes,Clare,15 - 24 years,Euro,16372,CLARE
Median Annual Earnings,2013,Both sexes,Clare,15 years and over,Euro,32737,CLARE
Median Annual Earnings,2013,Both sexes,Clare,25 - 29 years,Euro,26882,CLARE
Median Annual Earnings,2013,Both sexes,Clare,30 - 39 years,Euro,34195,CLARE
Median Annual Earnings,2013,Both sexes,Clare,40 - 49 years,Euro,36846,CLARE
Median Annual Earnings,2013,Both sexes,Clare,50 - 59 years,Euro,36362,CLARE
Median Annual Earnings,2013,Both sexes,Clare,60 years and over,Euro,22655,CLARE
Median Annual Earnings,2013,Both sexes,Cork,15 - 24 years,Euro,15851,CORK
Median Annual Earnings,2013,Both sexes,Cork,15 years and over,Euro,33208,CORK
Median Annual Earnings,2013,Both sexes,Cork,25 - 29 years,Euro,27583,CORK
Median Annual Earnings,2013,Both sexes,Cork,30 - 39 years,Euro,35880,CORK
Median Annual Earnings,2013,Both sexes,Cork,40 - 49 years,Euro,38583,CORK
Median Annual Earnings,2013,Both sexes,Cork,50 - 59 years,Euro,36501,CORK
Median Annual Earnings,2013,Both sexes,Cork,60 years and over,Euro,24104,CORK
Median Annual Earnings,2013,Both sexes,Cavan,15 - 24 years,Euro,17022,CAVAN
Median Annual Earnings,2013,Both sexes,Cavan,15 years and over,Euro,30062,CAVAN
Median Annual Earnings,2013,Both sexes,Cavan,25 - 29 years,Euro,26152,CAVAN
Median Annual Earnings,2013,Both sexes,Cavan,30 - 39 years,Euro,32921,CAVAN
Median Annual Earnings,2013,Both sexes,Cavan,40 - 49 years,Euro,32659,CAVAN
Median Annual Earnings,2013,Both sexes,Cavan,50 - 59 years,Euro,32658,CAVAN
Median Annual Earnings,2013,Both sexes,Cavan,60 years and over,Euro,23329,CAVAN
Median Annual Earnings,2013,Both sexes,Carlow,15 - 24 years,Euro,16100,CARLOW
Median Annual Earnings,2013,Both sexes,Carlow,15 years and over,Euro,30627,CARLOW
Median Annual Earnings,2013,Both sexes,Carlow,25 - 29 years,Euro,26384,CARLOW
Median Annual Earnings,2013,Both sexes,Carlow,30 - 39 years,Euro,32953,CARLOW
Median Annual Earnings,2013,Both sexes,Carlow,40 - 49 years,Euro,33788,CARLOW
Median Annual Earnings,2013,Both sexes,Carlow,50 - 59 years,Euro,33015,CARLOW
Median Annual Earnings,2013,Both sexes,Carlow,60 years and over,Euro,24275,CARLOW
Median Annual Earnings,2013,Both sexes,Donegal,15 - 24 years,Euro,13332,DONEGAL
Median Annual Earnings,2013,Both sexes,Donegal,15 years and over,Euro,26992,DONEGAL
Median Annual Earnings,2013,Both sexes,Donegal,25 - 29 years,Euro,22726,DONEGAL
Median Annual Earnings,2013,Both sexes,Donegal,30 - 39 years,Euro,29833,DONEGAL
Median Annual Earnings,2013,Both sexes,Donegal,40 - 49 years,Euro,31044,DONEGAL
Median Annual Earnings,2013,Both sexes,Donegal,50 - 59 years,Euro,30693,DONEGAL
Median Annual Earnings,2013,Both sexes,Donegal,60 years and over,Euro,19154,DONEGAL
Median Annual Earnings,2013,Both sexes,Dublin,15 - 24 years,Euro,16464,DUBLIN
Median Annual Earnings,2013,Both sexes,Dublin,15 years and over,Euro,35704,DUBLIN
Median Annual Earnings,2013,Both sexes,Dublin,25 - 29 years,Euro,28148,DUBLIN
Median Annual Earnings,2013,Both sexes,Dublin,30 - 39 years,Euro,38074,DUBLIN
Median Annual Earnings,2013,Both sexes,Dublin,40 - 49 years,Euro,42714,DUBLIN
Median Annual Earnings,2013,Both sexes,Dublin,50 - 59 years,Euro,40867,DUBLIN
Median Annual Earnings,2013,Both sexes,Dublin,60 years and over,Euro,30000,DUBLIN
Median Annual Earnings,2013,Both sexes,Galway,15 - 24 years,Euro,15506,GALWAY
Median Annual Earnings,2013,Both sexes,Galway,15 years and over,Euro,32227,GALWAY
Median Annual Earnings,2013,Both sexes,Galway,25 - 29 years,Euro,26656,GALWAY
Median Annual Earnings,2013,Both sexes,Galway,30 - 39 years,Euro,34352,GALWAY
Median Annual Earnings,2013,Both sexes,Galway,40 - 49 years,Euro,36481,GALWAY
Median Annual Earnings,2013,Both sexes,Galway,50 - 59 years,Euro,35006,GALWAY
Median Annual Earnings,2013,Both sexes,Galway,60 years and over,Euro,24571,GALWAY
Median Annual Earnings,2013,Both sexes,Kildare,15 - 24 years,Euro,15947,KILDARE
Median Annual Earnings,2013,Both sexes,Kildare,15 years and over,Euro,35460,KILDARE
Median Annual Earnings,2013,Both sexes,Kildare,25 - 29 years,Euro,27998,KILDARE
Median Annual Earnings,2013,Both sexes,Kildare,30 - 39 years,Euro,38000,KILDARE
Median Annual Earnings,2013,Both sexes,Kildare,40 - 49 years,Euro,41312,KILDARE
Median Annual Earnings,2013,Both sexes,Kildare,50 - 59 years,Euro,38724,KILDARE
Median Annual Earnings,2013,Both sexes,Kildare,60 years and over,Euro,29361,KILDARE
Median Annual Earnings,2013,Both sexes,Kilkenny,15 - 24 years,Euro,15789,KILKENNY
Median Annual Earnings,2013,Both sexes,Kilkenny,15 years and over,Euro,32008,KILKENNY
Median Annual Earnings,2013,Both sexes,Kilkenny,25 - 29 years,Euro,27316,KILKENNY
Median Annual Earnings,2013,Both sexes,Kilkenny,30 - 39 years,Euro,34925,KILKENNY
Median Annual Earnings,2013,Both sexes,Kilkenny,40 - 49 years,Euro,35508,KILKENNY
